versao_schema;id_pedido;datahora_pedido_utc;status;nome_cliente;email_cliente;cidade_cliente;estado_cliente;id_produto;nome_produto;categoria_produto;nome_fornecedor;nome_fabricante;quantidade;preco_unitario;desconto;valor_bruto;valor_liquido;metodo_pagamento;datahora_pagamento_utc;em_atraso
v1;P0000000;2025-12-25T12:57:33.051746+00:00;entregue;Ísis Santos;sarah08@example.com;Carvalho;GO;PRD009064;Paracetamol 500mg;Material de Expediente;Distribuidora Ferreira;Comercial Sá;2;310,89;0,15;621,78;528,51;Cartão de Crédito;2025-12-28T12:57:33.051746+00:00;True
v1;P0000001;2020-10-07T14:33:56.513897+00:00;entregue;Cauê Souza;yagoda-paz@example.net;Silva;MT;PRD008201;Luva Cirúrgica M;Serviço de Higiene e Limpeza (SHL);Comercial Garcia S/A;Distribuidora Sampaio;6;93,68;0,1;562,08;505,87;Boleto Bancário;2020-10-07T14:33:56.513897+00:00;False
v1;P0000002;2023-11-11T10:03:27.990393+00:00;pedido;João Montenegro;dda-cunha@example.org;da Mota do Norte;AC;PRD009813;Soro Fisiológico 0,9%;Odontologia;Farmacêutica Carvalho Sousa S/A;Hospitalar Correia Correia - EI;4;126,51;0,0;506,04;506,04;Cartão de Crédito;2023-11-14T10:03:27.990393+00:00;True
v1;P0000003;2025-07-05T04:34:55.832813+00:00;pedido;Sr. João Castro;tnovaes@example.com;Camargo;AP;PRD007962;Dipirona 1g;Serviço de Higiene e Limpeza (SHL);Fornecedora Nascimento;Farmacêutica Carvalho;5;195,36;0,0;976,8;976,8;Boleto Bancário;2025-07-05T04:34:55.832813+00:00;False
v1;P0000004;2021-11-28T21:21:07.578668+00:00;devolvido;Srta. Ísis Andrade;juan62@example.org;Fonseca do Norte;MS;PRD003470;Luva Cirúrgica G;Material de Expediente;Farmacêutica Pacheco;Hospitalar Araújo Moraes S/A;8;757,74;0,0;6061,92;6061,92;Boleto Bancário;2021-12-01T21:21:07.578668+00:00;True
v1;P0000005;2023-04-30T01:50:30.720658+00:00;enviado;Josué Rios;fogacajoana@example.net;da Costa;CE;PRD001049;Soro Fisiológico 0,9%;Medicamento;Distribuidora Farias S/A;Comercial Albuquerque - ME;6;353,29;0,15;2119,74;1801,78;PIX;2023-04-30T01:50:30.720658+00:00;False
v1;P0000006;2021-07-25T18:13:32.781003+00:00;entregue;Noah Alves;brendaviana@example.com;da Mata;CE;PRD001160;Máscara Descartável;Serviço de Nutrição e Dietética (SND);Hospitalar Barros e Filhos;Distribuidora Borges S.A.;4;10,72;0,0;42,88;42,88;Boleto Bancário;2021-07-25T18:13:32.781003+00:00;False
v1;P0000007;2024-01-26T02:47:05.802991+00:00;devolvido;Srta. Maria Helena Andrade;mcamara@example.com;das Neves de Goiás;ES;PRD006669;Luva Cirúrgica G;Medicamento;Comercial Teixeira Fernandes S/A;Hospitalar Guerra Campos - EI;3;580,07;0,15;1740,21;1479,18;Cartão de Crédito;2024-01-26T02:47:05.802991+00:00;False
v1;P0000008;2024-07-29T18:07:34.338893+00:00;pedido;Gael Guerra;agatha14@example.com;Rocha da Prata;MT;PRD000993;Esparadrapo 10cm;Material de Expediente;Comercial Cassiano e Filhos;Farmacêutica Caldeira;7;331,83;0,0;2322,81;2322,81;PIX;2024-08-05T18:07:34.338893+00:00;True
v1;P0000009;2020-07-12T12:03:54.839815+00:00;entregue;Danilo da Luz;viniciusandrade@example.org;Ferreira Alegre;PA;PRD007579;Máscara Descartável;Medicamento;Comercial Porto;Comercial Albuquerque - ME;4;156,22;0,1;624,88;562,39;PIX;2020-07-12T12:03:54.839815+00:00;False
v1;P0000010;2025-04-30T22:22:54.634000+00:00;enviado;Sophia Camargo;moliveira@example.com;Santos;PA;PRD002724;Termômetro Digital;Odontologia;Comercial Araújo da Costa - EI;Distribuidora Borges S.A.;1;523,46;0,15;523,46;444,94;Cartão de Crédito;2025-04-30T22:22:54.634000+00:00;False
v1;P0000011;2025-12-10T05:53:35.015863+00:00;devolvido;Vicente Nascimento;emanuellalopes@example.org;Pinto Alegre;RO;PRD004673;Termômetro Digital;Material de Expediente;Comercial Pastor - EI;Fornecedora Rios Silva Ltda.;1;135,89;0,0;135,89;135,89;PIX;2025-12-10T05:53:35.015863+00:00;False
v1;P0000012;2024-02-01T01:53:00.016634+00:00;pedido;Kaique Montenegro;julia56@example.net;Novaes Grande;DF;PRD005138;Amoxicilina 500mg;Medicamento;Fornecedora da Conceição S/A;Distribuidora da Luz;4;240,88;0,0;963,52;963,52;Boleto Bancário;2024-02-04T01:53:00.016634+00:00;True
v1;P0000013;2019-07-19T07:58:14.627733+00:00;pedido;Maria Helena Rocha;ana-juliaguerra@example.net;da Rosa;MA;PRD009749;Dipirona 1g;Material de Expediente;Farmacêutica Rodrigues Duarte S/A;Hospitalar Araújo Moraes S/A;3;50,22;0,15;150,66;128,06;PIX;2019-07-19T07:58:14.627733+00:00;False
v1;P0000014;2024-04-19T22:26:09.009640+00:00;entregue;Pedro Viana;maria-flor77@example.net;Moraes;PR;PRD004272;Luva Cirúrgica G;Material de Expediente;Farmacêutica Fonseca;Hospitalar Guerra Araújo S.A.;4;465,24;0,0;1860,96;1860,96;Cartão de Crédito;2024-04-20T22:26:09.009640+00:00;True
v1;P0000015;2023-05-13T13:11:23.621715+00:00;pedido;Srta. Antonella da Paz;francisco34@example.org;Casa Grande;AC;PRD007508;Seringa 5ml;Medicamento;Farmacêutica Macedo;Distribuidora Borges S.A.;7;109,05;0,05;763,35;725,18;Boleto Bancário;2023-05-13T13:11:23.621715+00:00;False
v1;P0000016;2025-07-09T13:17:33.136169+00:00;entregue;Joaquim Melo;marqueskamilly@example.net;Silva;RR;PRD004669;Luva Cirúrgica M;Odontologia;Distribuidora Campos;Distribuidora Sampaio;5;110,3;0,05;551,5;523,92;Boleto Bancário;2025-07-09T13:17:33.136169+00:00;False
v1;P0000017;2022-03-18T18:40:22.831911+00:00;pedido;Sabrina Guerra;juanrezende@example.net;Sá;SP;PRD002200;Álcool 70%;Medicamento;Comercial Garcia S/A;Comercial Albuquerque - ME;1;535,95;0,15;535,95;455,56;PIX;2022-03-25T18:40:22.831911+00:00;True
v1;P0000018;2024-10-16T12:59:42.058355+00:00;entregue;Otávio Câmara;rafaelamartins@example.org;Campos;PB;PRD008280;Sabonete Antisséptico;Serviço de Nutrição e Dietética (SND);Comercial Novais S.A.;Comercial Araújo - ME;5;229,0;0,0;1145,0;1145,0;Boleto Bancário;2024-10-16T12:59:42.058355+00:00;False
v1;P0000019;2016-07-11T13:36:28.543121+00:00;entregue;Ravi Rios;luisa98@example.com;Castro de Souza;PR;PRD002647;Antisséptico Bucal;Serviço de Higiene e Limpeza (SHL);Distribuidora Montenegro;Comercial Albuquerque - ME;7;664,33;0,0;4650,31;4650,31;PIX;2016-07-11T13:36:28.543121+00:00;False
v1;P0000020;2023-11-24T09:57:17.861215+00:00;enviado;Joana Sá;yurivargas@example.net;Pires de da Costa;GO;PRD007041;Agulha 25x7;Medicamento;Farmacêutica Pacheco;Farmacêutica Aragão - EI;2;64,82;0,0;129,64;129,64;PIX;2023-11-24T09:57:17.861215+00:00;False
v1;P0000021;2024-07-18T00:38:19.000023+00:00;devolvido;Ana Vitória Silva;ravy45@example.com;Carvalho;BA;PRD002532;Máscara Descartável;Material Médico Hospitalar;Hospitalar Brito Garcia Ltda.;Fornecedora Azevedo Peixoto S/A;6;172,01;0,0;1032,06;1032,06;PIX;2024-07-18T00:38:19.000023+00:00;False
v1;P0000022;2025-02-03T08:57:26.490404+00:00;enviado;Matheus Sales;pauloazevedo@example.com;Farias da Prata;PB;PRD004371;Luva Cirúrgica M;Material de Expediente;Comercial Garcia S/A;Fornecedora Montenegro;3;590,57;0,05;1771,71;1683,12;PIX;2025-02-04T08:57:26.490404+00:00;True
v1;P0000023;2022-08-12T20:20:55.740142+00:00;enviado;Ana Liz Costela;xgomes@example.net;Teixeira;RJ;PRD000387;Luva Cirúrgica G;Odontologia;Farmacêutica Sá S/A;Distribuidora da Luz;8;181,83;0,1;1454,64;1309,18;PIX;2022-08-12T20:20:55.740142+00:00;False
v1;P0000024;2022-12-24T01:46:26.108318+00:00;entregue;Pietra Abreu;ana-cecilia66@example.net;Mendonça;ES;PRD000452;Seringa 5ml;Serviço de Nutrição e Dietética (SND);Hospitalar Brito Garcia Ltda.;Distribuidora Montenegro da Luz S.A.;5;284,16;0,15;1420,8;1207,68;Cartão de Crédito;2022-12-27T01:46:26.108318+00:00;True
v1;P0000025;2022-08-01T18:03:27.446240+00:00;devolvido;Pedro Henrique Mendonça;gomesbarbara@example.net;Silveira da Serra;TO;PRD009932;Seringa 5ml;Odontologia;Distribuidora Santos e Filhos;Farmacêutica Aragão e Filhos;1;91,18;0,1;91,18;82,06;Cartão de Crédito;2022-08-01T18:03:27.446240+00:00;False
v1;P0000026;2023-10-01T01:33:48.208794+00:00;enviado;Carolina Pinto;goncalvesbenjamim@example.org;Carvalho dos Dourados;CE;PRD005967;Termômetro Digital;Medicamento;Farmacêutica Sá S/A;Fornecedora Freitas da Paz S.A.;1;568,48;0,0;568,48;568,48;Cartão de Crédito;2023-10-04T01:33:48.208794+00:00;True
v1;P0000027;2023-09-03T07:34:28.490196+00:00;devolvido;José Pedro Garcia;otavio75@example.com;da Mota das Pedras;GO;PRD005344;Esparadrapo 10cm;Material de Expediente;Hospitalar Souza Novais - EI;Comercial Albuquerque - ME;2;577,2;0,05;1154,4;1096,68;PIX;2023-09-10T07:34:28.490196+00:00;True
v1;P0000028;2024-08-05T22:17:53.061818+00:00;entregue;Ravy Almeida;ferreirapietro@example.net;Vasconcelos;RS;PRD006653;Paracetamol 500mg;Serviço de Nutrição e Dietética (SND);Comercial Carvalho;Distribuidora Borges S.A.;4;339,25;0,1;1357,0;1221,3;Cartão de Crédito;2024-08-05T22:17:53.061818+00:00;False
v1;P0000029;2024-08-02T20:44:49.656160+00:00;devolvido;Arthur da Cruz;asafepinto@example.org;Cardoso;PR;PRD002780;Dipirona 1g;Serviço de Nutrição e Dietética (SND);Farmacêutica da Luz Moura - EI;Fornecedora Freitas da Paz S.A.;6;374,67;0,1;2248,02;2023,22;Cartão de Crédito;2024-08-05T20:44:49.656160+00:00;True
v1;P0000030;2024-07-28T17:17:50.621070+00:00;enviado;Bruna Nunes;maria-florsampaio@example.com;Cavalcante do Campo;SP;PRD002414;Paracetamol 500mg;Medicamento;Farmacêutica Andrade Dias - ME;Distribuidora da Luz;2;655,65;0,0;1311,3;1311,3;Boleto Bancário;2024-07-28T17:17:50.621070+00:00;False
v1;P0000031;2021-03-14T12:05:36.681933+00:00;devolvido;Leonardo Caldeira;das-nevesfernanda@example.com;Barbosa;RJ;PRD008099;Esparadrapo 10cm;Material Médico Hospitalar;Comercial Pires;Fornecedora Brito Brito e Filhos;2;367,06;0,15;734,12;624,0;PIX;2021-03-21T12:05:36.681933+00:00;True
