versao_schema;id_pedido;datahora_pedido_utc;status;nome_cliente;email_cliente;cidade_cliente;estado_cliente;id_produto;nome_produto;categoria_produto;nome_fornecedor;nome_fabricante;quantidade; preco_unitario ; desconto ; valor_bruto ; valor_liquido ;metodo_pagamento;datahora_pagamento_utc;em_atraso
v1;P0000003;2025-08-03T11:48:47.498314+00:00;devolvido;Sr. João Castro;tnovaes@example.com;Camargo;AP;PRD001133;Agulha 25x7;Material Médico Hospitalar;Distribuidora Fonseca Ltda.;Comercial Albuquerque - ME;1; R$ 196,49 ; R$ 0,15 ; R$ 196,49 ; R$ 167,02 ;PIX;2025-08-10T11:48:47.498314+00:00;True
v1;P0000035;2025-08-03T09:48:47.500066+00:00;enviado;João Lucas Machado;maria-fernandanunes@example.net;Fernandes do Sul;PR;PRD006275;Agulha 25x7;Material de Expediente;Comercial Pereira e Filhos;Distribuidora Rocha e Filhos;6; R$ 259,17 ; R$ 0,15 ; R$ 1.555,02 ; R$ 1.321,77 ;Cartão de Crédito;2025-08-03T09:48:47.500066+00:00;False
v1;P0000041;2025-05-09T13:48:47.500387+00:00;enviado;Larissa Brito;ana-carolinada-conceicao@example.com;da Rosa;AC;PRD000333;Agulha 25x7;Material Médico Hospitalar;Fornecedora Nascimento;Distribuidora da Luz;4; R$ 521,86 ; R$ -   ; R$ 2.087,44 ; R$ 2.087,44 ;Boleto Bancário;2025-05-09T13:48:47.500387+00:00;False
v1;P0000075;2025-05-27T01:48:47.502344+00:00;enviado;Davi Miguel Pires;piresbruno@example.com;Andrade de Pacheco;MS;PRD008153;Agulha 25x7;Material Médico Hospitalar;Comercial Almeida;Hospitalar Abreu;3; R$ 140,14 ; R$ -   ; R$ 420,42 ; R$ 420,42 ;Cartão de Crédito;2025-05-30T01:48:47.502344+00:00;True
v1;P0000085;2025-06-24T23:48:47.502819+00:00;devolvido;Alícia Aragão;ryan29@example.org;Teixeira;PI;PRD009622;Agulha 25x7;Odontologia;Comercial Teixeira Fernandes S/A;Fornecedora Rios Silva Ltda.;4; R$ 710,37 ; R$ -   ; R$ 2.841,48 ; R$ 2.841,48 ;Boleto Bancário;2025-06-24T23:48:47.502819+00:00;False
v1;P0000095;2025-07-04T00:48:47.503258+00:00;entregue;Bryan Borges;vbrito@example.net;Cardoso da Prata;AL;PRD006132;Agulha 25x7;Material de Expediente;Distribuidora Fonseca Ltda.;Distribuidora Rocha e Filhos;7; R$ 335,71 ; R$ -   ; R$ 2.349,97 ; R$ 2.349,97 ;PIX;2025-07-04T00:48:47.503258+00:00;False
v1;P0000112;2025-05-22T07:48:47.504052+00:00;devolvido;Breno Cavalcanti;wmartins@example.net;Rodrigues de Nunes;RS;PRD008214;Agulha 25x7;Medicamento;Distribuidora Cassiano Freitas S.A.;Farmacêutica Caldeira;1; R$ 362,54 ; R$ 0,15 ; R$ 362,54 ; R$ 308,16 ;Cartão de Crédito;2025-05-22T07:48:47.504052+00:00;False
v1;P0000115;2025-04-24T09:48:47.504187+00:00;pedido;Breno Ramos;pimentanatalia@example.com;Pacheco de Novaes;SE;PRD009547;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Farmacêutica Pacheco;Hospitalar Araújo Moraes S/A;5; R$ 580,37 ; R$ 0,15 ; R$ 2.901,85 ; R$ 2.466,57 ;PIX;2025-04-24T09:48:47.504187+00:00;False
v1;P0000144;2025-05-26T20:48:47.505521+00:00;enviado;Sr. Bruno Duarte;ana-laura79@example.net;Cavalcante dos Dourados;MS;PRD009696;Agulha 25x7;Material Médico Hospitalar;Farmacêutica Jesus;Hospitalar Azevedo;5; R$ 104,51 ; R$ 0,05 ; R$ 522,55 ; R$ 496,42 ;Cartão de Crédito;2025-05-26T20:48:47.505521+00:00;False
v1;P0000151;2025-07-07T20:48:47.505967+00:00;pedido;Sra. Aurora Rodrigues;cecilia18@example.net;da Rosa da Serra;RR;PRD007060;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Moura;Hospitalar Araújo Moraes S/A;5; R$ 398,44 ; R$ 0,10 ; R$ 1.992,20 ; R$ 1.792,98 ;Cartão de Crédito;2025-07-07T20:48:47.505967+00:00;False
v1;P0000154;2025-05-14T03:48:47.506101+00:00;devolvido;Pietra Moura;avargas@example.net;Cardoso;MT;PRD002440;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Hospitalar da Cruz;Distribuidora Cassiano;1; R$ 41,02 ; R$ -   ; R$ 41,02 ; R$ 41,02 ;PIX;2025-05-15T03:48:47.506101+00:00;True
v1;P0000183;2025-05-04T21:48:47.507402+00:00;devolvido;Olívia Mendes;aliciaduarte@example.com;Vargas;AP;PRD006688;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Rodrigues e Filhos;Fornecedora Barbosa Macedo - EI;1; R$ 777,97 ; R$ 0,10 ; R$ 777,97 ; R$ 700,17 ;Boleto Bancário;2025-05-04T21:48:47.507402+00:00;False
v1;P0000221;2025-06-26T15:48:47.509055+00:00;devolvido;Marina Cavalcanti;britosabrina@example.org;Correia;RN;PRD006852;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Fornecedora Rodrigues - EI;Hospitalar Guerra Campos - EI;4; R$ 247,78 ; R$ -   ; R$ 991,12 ; R$ 991,12 ;PIX;2025-06-26T15:48:47.509055+00:00;False
v1;P0000233;2025-06-17T23:48:47.509605+00:00;devolvido;Maria Luísa Caldeira;borgesdaniela@example.net;Peixoto;RN;PRD003314;Agulha 25x7;Material de Expediente;Comercial Souza;Distribuidora Martins;8; R$ 17,94 ; R$ -   ; R$ 143,52 ; R$ 143,52 ;Cartão de Crédito;2025-06-17T23:48:47.509605+00:00;False
v1;P0000249;2025-07-13T12:48:47.510369+00:00;entregue;Bianca Rocha;ryanmoreira@example.org;Farias;PI;PRD006274;Agulha 25x7;Material Médico Hospitalar;Distribuidora Alves S/A;Comercial Albuquerque - ME;1; R$ 40,01 ; R$ -   ; R$ 40,01 ; R$ 40,01 ;Boleto Bancário;2025-07-14T12:48:47.510369+00:00;True
v1;P0000274;2025-04-17T18:48:47.511421+00:00;pedido;Sr. Otávio Sales;maria-lizbarbosa@example.org;Borges do Campo;AM;PRD008129;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Fornecedora Abreu;Hospitalar Guerra Araújo S.A.;1; R$ 149,75 ; R$ 0,05 ; R$ 149,75 ; R$ 142,26 ;Cartão de Crédito;2025-04-17T18:48:47.511421+00:00;False
v1;P0000356;2025-06-11T23:48:47.515450+00:00;entregue;Dra. Letícia Correia;pietrateixeira@example.org;Peixoto;MG;PRD009571;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Fornecedora Pastor Câmara S/A;Farmacêutica Aragão - EI;2; R$ 720,59 ; R$ 0,05 ; R$ 1.441,18 ; R$ 1.369,12 ;Cartão de Crédito;2025-06-11T23:48:47.515450+00:00;False
v1;P0000361;2025-08-11T16:48:47.515685+00:00;enviado;Dr. José Pedro Pacheco;maria-fernanda17@example.org;Melo;DF;PRD008423;Agulha 25x7;Odontologia;Distribuidora Santos Azevedo S/A;Fornecedora Barbosa Macedo - EI;2; R$ 320,44 ; R$ 0,15 ; R$ 640,88 ; R$ 544,75 ;Boleto Bancário;2025-08-11T16:48:47.515685+00:00;False
v1;P0000377;2025-06-13T05:48:47.516430+00:00;entregue;Asafe Novaes;scostela@example.com;da Costa do Sul;AC;PRD006522;Agulha 25x7;Material de Expediente;Distribuidora Aparecida;Hospitalar Jesus Mendonça - ME;3; R$ 299,32 ; R$ 0,15 ; R$ 897,96 ; R$ 763,27 ;Cartão de Crédito;2025-06-13T05:48:47.516430+00:00;False
v1;P0000395;2025-06-14T13:48:47.517192+00:00;devolvido;Lucca Caldeira;oaparecida@example.net;Vargas;PB;PRD008185;Agulha 25x7;Material de Expediente;Distribuidora Cunha;Comercial Sá;4; R$ 120,95 ; R$ -   ; R$ 483,80 ; R$ 483,80 ;Boleto Bancário;2025-06-14T13:48:47.517192+00:00;False
v1;P0000399;2025-04-22T11:48:47.517353+00:00;entregue;Dr. Rael Carvalho;juliapereira@example.net;Sampaio da Prata;MT;PRD007598;Agulha 25x7;Material Médico Hospitalar;Comercial Cassiano e Filhos;Fornecedora Azevedo Peixoto S/A;8; R$ 620,92 ; R$ 0,10 ; R$ 4.967,36 ; R$ 4.470,62 ;Boleto Bancário;2025-04-23T11:48:47.517353+00:00;True
v1;P0000406;2025-06-18T04:48:47.517650+00:00;devolvido;Sra. Gabriela Pinto;ocamara@example.net;Sá Verde;PI;PRD004256;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial da Cruz;Fornecedora Brito Brito e Filhos;8; R$ 434,04 ; R$ -   ; R$ 3.472,32 ; R$ 3.472,32 ;Boleto Bancário;2025-06-18T04:48:47.517650+00:00;False
v1;P0000417;2025-08-07T19:48:47.518312+00:00;devolvido;Daniela Alves;vsilva@example.org;Barbosa;AL;PRD009768;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Cassiano;Hospitalar Guerra Araújo S.A.;7; R$ 632,37 ; R$ -   ; R$ 4.426,59 ; R$ 4.426,59 ;PIX;2025-08-14T19:48:47.518312+00:00;True
v1;P0000418;2025-06-30T17:48:47.518358+00:00;pedido;José Novais;oliveirarafael@example.com;Gomes dos Dourados;RS;PRD005824;Agulha 25x7;Material de Expediente;Farmacêutica Macedo;Farmacêutica Caldeira;8; R$ 77,66 ; R$ 0,15 ; R$ 621,28 ; R$ 528,09 ;PIX;2025-06-30T17:48:47.518358+00:00;False
v1;P0000421;2025-07-08T18:48:47.518488+00:00;enviado;Liz Pereira;da-pazluna@example.com;Ribeiro do Sul;PR;PRD001128;Agulha 25x7;Odontologia;Hospitalar Souza Novais - EI;Hospitalar Abreu;6; R$ 262,33 ; R$ 0,10 ; R$ 1.573,98 ; R$ 1.416,58 ;Boleto Bancário;2025-07-11T18:48:47.518488+00:00;True
v1;P0000432;2025-04-26T03:48:47.518990+00:00;entregue;Hadassa Andrade;yasmin87@example.net;Fonseca;MG;PRD009071;Agulha 25x7;Medicamento;Distribuidora Alves S/A;Distribuidora Leão e Filhos;5; R$ 787,59 ; R$ -   ; R$ 3.937,95 ; R$ 3.937,95 ;Cartão de Crédito;2025-04-26T03:48:47.518990+00:00;False
